power,mu1,mu2,sd1,sd2,n1,n2,n_sim,datetime
0.1595,0,1,2,3,50,10,10000,2024-09-04T22:11:18Z
0.2609,0,1,2,3,50,20,10000,2024-09-04T22:12:11Z
0.3504,0,1,2,3,50,30,10000,2024-09-04T22:12:59Z
0.427,0,1,2,3,50,40,10000,2024-09-04T22:13:53Z
0.4803,0,1,2,3,50,50,10000,2024-09-04T22:14:46Z
0.1476,0,1,3,1,10,10,10000,2024-09-04T22:10:38Z
0.1572,0,1,3,1,10,20,10000,2024-09-04T22:11:22Z
0.1582,0,1,3,1,10,30,10000,2024-09-04T22:12:16Z
0.1584,0,1,3,1,10,40,10000,2024-09-04T22:13:03Z
0.1549,0,1,3,1,10,50,10000,2024-09-04T22:13:58Z
0.2537,0,1,3,1,20,10,10000,2024-09-04T22:10:45Z
0.2793,0,1,3,1,20,20,10000,2024-09-04T22:11:36Z
0.2871,0,1,3,1,20,30,10000,2024-09-04T22:12:25Z
0.2924,0,1,3,1,20,40,10000,2024-09-04T22:13:13Z
0.2904,0,1,3,1,20,50,10000,2024-09-04T22:14:09Z
0.3346,0,1,3,1,30,10,10000,2024-09-04T22:10:57Z
0.3797,0,1,3,1,30,20,10000,2024-09-04T22:11:44Z
0.3827,0,1,3,1,30,30,10000,2024-09-04T22:12:35Z
0.3976,0,1,3,1,30,40,10000,2024-09-04T22:13:23Z
0.4019,0,1,3,1,30,50,10000,2024-09-04T22:14:22Z
0.4062,0,1,3,1,40,10,10000,2024-09-04T22:11:05Z
0.4622,0,1,3,1,40,20,10000,2024-09-04T22:11:53Z
0.4879,0,1,3,1,40,30,10000,2024-09-04T22:12:43Z
0.4917,0,1,3,1,40,40,10000,2024-09-04T22:13:37Z
0.5116,0,1,3,1,40,50,10000,2024-09-04T22:14:31Z
0.453,0,1,3,1,50,10,10000,2024-09-04T22:11:13Z
